縣市,鄉鎮區,縣市代碼,鄉鎮區代碼,名稱,地址,lat,lng,有疑慮備註
臺北市,大同區,63000,63000060,圓環太平永樂町商圈,臺北市大同區迪化街一段21號,25.0548899,121.5105053,
臺北市,中山區,63000,63000040,雙連商圈,臺北市中山區民生西路45巷5-1號,25.0584685,121.520927,
臺北市,大安區,63000,63000030,臨江觀光商圈,臺北市大安區臨江街89之11號,25.0302776,121.5547308,
臺北市,大同區,63000,63000060,中山商圈,臺北市中山區民生東路一段52號,25.057921,121.524893,
臺北市,中山區,63000,63000040,中山區大正町條通商圈,臺北市中山區林森北路100號,25.052829,121.520746,
臺北市,士林區,63000,63000110,天母商圈,臺北市士林區中山北路七段2號,25.118484,121.530632,
臺北市,大同區,63000,63000060,圓山商圈,臺北市大同區酒泉街10巷25號,25.0699235,121.5197075,
臺北市,大同區,63000,63000060,後站商圈,臺北市大同區重慶北路一段13號,25.05,121.513741,
臺北市,中山區,63000,63000040,晴光商圈,臺北市中山區雙城街12之1號,25.064559,121.524227,
臺北市,中山區,63000,63000040,四平陽光商圈,臺北市中山區四平街79號,25.0537092,121.5342749,
臺北市,中山區,63000,63000040,條通商圈,臺北市中山區林森北路105號,25.0502278,121.5250737,
臺北市,大同區,63000,63000060,中山北路婚紗商圈,臺北市中山區中山北路三段32號,25.065526,121.522051,
臺北市,中正區,63000,63000050,重南書路書店商圈,臺北市中正區重慶南路1段105號,25.042933,121.513332,
臺北市,中正區,63000,63000050,榮町商圈,臺北市中正區衡陽路74號,25.042177,121.5112271,
臺北市,內湖區,63000,63000100,西湖商圈,臺北市內湖區內湖路1段285巷31號,25.0835874,121.5670011,
臺北市,萬華區,63000,63000070,萬華街區商圈,臺北市萬華區三水街62號,25.036001,121.5023875,
臺北市,北投區,63000,63000120,新北投溫泉商圈,臺北市北投區光明路230號,25.1358102,121.505998,
臺北市,北投區,63000,63000120,行義路溫泉美食商圈,臺北市北投區行義路269號,25.1376246,121.5277533,
臺北市,北投區,63000,63000120,石牌捷運商圈,臺北市北投區裕民一路25號,25.1167705,121.5170653,
臺北市,士林區,63000,63000110,承德路中古汽車商圈,臺北市士林區承德路4段257號,25.0895596,121.5207585,
臺北市,大同區,63000,63000060,朝陽服飾材料商圈,臺北市大同區重慶北路2段46巷42之1號,25.0550567,121.5128927,
臺北市,大同區,63000,63000060,迪化街商圈,臺北市大同區迪化街1段130號,25.0572154,121.5097165,
臺北市,大同區,63000,63000060,迪化街商圈,臺北市大同區迪化街一段72巷8弄1號,25.0558468,121.5090999,重複
臺北市,大同區,63000,63000060,華陰街商圈,臺北市大同區華陰街203號,25.050496,121.514529,
臺北市,大同區,63000,63000060,大龍峒商圈,臺北市大同區哈密街96號,25.0729152,121.5147638,
臺北市,大同區,63000,63000060,臺北大橋頭延三商圈,臺北市大同區延平北路三段124號,25.0675098,121.5107988,
臺北市,大同區,63000,63000060,寧夏夜市商圈,臺北市大同區寧夏路58號,25.0566408,121.5153526,
臺北市,內湖區,63000,63000100,內湖737商圈,臺北市內湖區內湖路一段737巷21號,25.079416,121.578591,
臺北市,信義區,63000,63000020,吳興街商圈,臺北市信義區吳興街147號,25.0292761,121.5619366,
臺北市,信義區,63000,63000020,五分埔商圈,臺北市信義區永吉路517巷1弄10號,25.0457803,121.5796107,
